platform,product_id,title,category,brand,price,currency,date,views_7,likes_7,comments_7,shares_7,sales_rank_7,reviews,rating,growth_7,growth_30,url
tiktok,tiktok_0034,Gadgets Product 34 for tiktok,Gadgets,NoBrand,57.48,USD,2025-08-21,117512.0,147943.0,2099.0,5453.0,,,,1.145,0.705,https://example.com/tiktok/34
amazon,amazon_0035,Gadgets Product 35 for amazon,Gadgets,NoBrand,61.61,USD,2025-08-21,,,,,72695.0,2056.0,3.7,0.721,1.224,https://example.com/amazon/35
tiktok,tiktok_0036,Pet Product 36 for tiktok,Pet,BrandB,59.95,USD,2025-08-21,917317.0,126571.0,9938.0,4021.0,,,,0.961,1.384,https://example.com/tiktok/36
tiktok,tiktok_0037,Gadgets Product 37 for tiktok,Gadgets,BrandC,55.48,USD,2025-08-21,194423.0,126563.0,2607.0,5622.0,,,,0.662,-0.291,https://example.com/tiktok/37
etsy,etsy_0038,Fashion Product 38 for etsy,Fashion,NoBrand,16.13,USD,2025-08-21,,,,,77506.0,2869.0,4.01,1.191,0.017,https://example.com/etsy/38
etsy,etsy_0039,Kitchen Product 39 for etsy,Kitchen,BrandC,7.14,USD,2025-08-21,,,,,91413.0,4911.0,4.54,0.639,1.229,https://example.com/etsy/39
tiktok,tiktok_0040,Home Product 40 for tiktok,Home,NoBrand,47.43,USD,2025-08-21,1889072.0,107950.0,8100.0,4595.0,,,,0.024,0.139,https://example.com/tiktok/40
tiktok,tiktok_0041,Beauty Product 41 for tiktok,Beauty,BrandA,67.3,USD,2025-08-21,144508.0,76713.0,5945.0,3384.0,,,,0.295,0.33,https://example.com/tiktok/41
tiktok,tiktok_0042,Gadgets Product 42 for tiktok,Gadgets,BrandB,46.64,USD,2025-08-21,1428175.0,137172.0,8046.0,845.0,,,,0.049,-0.256,https://example.com/tiktok/42
etsy,etsy_0043,Kitchen Product 43 for etsy,Kitchen,BrandA,46.66,USD,2025-08-21,,,,,73745.0,7339.0,4.89,1.126,1.347,https://example.com/etsy/43
amazon,amazon_0044,Kitchen Product 44 for amazon,Kitchen,NoBrand,29.32,USD,2025-08-21,,,,,63209.0,1060.0,4.87,0.285,1.44,https://example.com/amazon/44
etsy,etsy_0045,Pet Product 45 for etsy,Pet,BrandA,66.71,USD,2025-08-21,,,,,54241.0,1139.0,3.73,0.216,1.232,https://example.com/etsy/45
etsy,etsy_0046,Gadgets Product 46 for etsy,Gadgets,BrandA,25.97,USD,2025-08-21,,,,,26642.0,1816.0,3.91,0.951,1.374,https://example.com/etsy/46
etsy,etsy_0047,Fashion Product 47 for etsy,Fashion,BrandC,10.44,USD,2025-08-21,,,,,72992.0,4014.0,4.98,-0.176,0.633,https://example.com/etsy/47
etsy,etsy_0048,Pet Product 48 for etsy,Pet,BrandA,61.27,USD,2025-08-21,,,,,66321.0,3175.0,4.45,0.724,0.347,https://example.com/etsy/48
amazon,amazon_0049,Kitchen Product 49 for amazon,Kitchen,BrandB,24.5,USD,2025-08-21,,,,,19191.0,537.0,4.66,0.987,1.344,https://example.com/amazon/49
amazon,amazon_0050,Beauty Product 50 for amazon,Beauty,BrandC,38.21,USD,2025-08-21,,,,,89913.0,4131.0,4.64,0.64,0.964,https://example.com/amazon/50
etsy,etsy_0051,Home Product 51 for etsy,Home,BrandA,56.13,USD,2025-08-21,,,,,91084.0,6002.0,3.81,0.201,-0.131,https://example.com/etsy/51
etsy,etsy_0052,Pet Product 52 for etsy,Pet,BrandB,42.43,USD,2025-08-21,,,,,99158.0,4146.0,4.04,0.468,0.216,https://example.com/etsy/52
tiktok,tiktok_0053,Pet Product 53 for tiktok,Pet,BrandB,43.22,USD,2025-08-21,984165.0,31524.0,9957.0,4807.0,,,,0.916,0.348,https://example.com/tiktok/53
etsy,etsy_0054,Fashion Product 54 for etsy,Fashion,BrandA,14.0,USD,2025-08-21,,,,,80136.0,3124.0,3.69,1.144,0.523,https://example.com/etsy/54
etsy,etsy_0055,Pet Product 55 for etsy,Pet,NoBrand,59.05,USD,2025-08-21,,,,,58336.0,7027.0,3.94,0.719,-0.051,https://example.com/etsy/55
tiktok,tiktok_0056,Beauty Product 56 for tiktok,Beauty,BrandC,14.36,USD,2025-08-21,1292417.0,17519.0,1743.0,1712.0,,,,0.872,0.187,https://example.com/tiktok/56
amazon,amazon_0057,Home Product 57 for amazon,Home,BrandA,33.66,USD,2025-08-21,,,,,25946.0,740.0,3.53,-0.271,0.471,https://example.com/amazon/57
tiktok,tiktok_0058,Fashion Product 58 for tiktok,Fashion,BrandA,49.38,USD,2025-08-21,388496.0,67117.0,562.0,2879.0,,,,-0.016,-0.131,https://example.com/tiktok/58
tiktok,tiktok_0059,Gadgets Product 59 for tiktok,Gadgets,NoBrand,17.52,USD,2025-08-21,197628.0,115048.0,3393.0,5338.0,,,,0.781,0.698,https://example.com/tiktok/59
tiktok,tiktok_0060,Fashion Product 60 for tiktok,Fashion,BrandB,44.54,USD,2025-08-21,724998.0,67715.0,3556.0,5122.0,,,,-0.208,0.315,https://example.com/tiktok/60
tiktok,tiktok_0061,Gadgets Product 61 for tiktok,Gadgets,NoBrand,11.78,USD,2025-08-21,1758014.0,79332.0,2191.0,5899.0,,,,1.167,0.016,https://example.com/tiktok/61
etsy,etsy_0062,Home Product 62 for etsy,Home,BrandC,7.08,USD,2025-08-21,,,,,35248.0,6484.0,4.05,-0.123,0.481,https://example.com/etsy/62
etsy,etsy_0063,Fashion Product 63 for etsy,Fashion,NoBrand,31.11,USD,2025-08-21,,,,,23050.0,5877.0,4.34,-0.328,0.374,https://example.com/etsy/63
tiktok,tiktok_0064,Fashion Product 64 for tiktok,Fashion,BrandB,45.43,USD,2025-08-21,897225.0,10323.0,9257.0,1378.0,,,,0.694,0.809,https://example.com/tiktok/64
etsy,etsy_0065,Pet Product 65 for etsy,Pet,NoBrand,65.47,USD,2025-08-21,,,,,30978.0,4592.0,4.76,0.618,1.142,https://example.com/etsy/65
etsy,etsy_0066,Gadgets Product 66 for etsy,Gadgets,BrandC,48.66,USD,2025-08-21,,,,,11939.0,2427.0,3.43,0.898,1.177,https://example.com/etsy/66
amazon,amazon_0067,Fashion Product 67 for amazon,Fashion,NoBrand,45.43,USD,2025-08-21,,,,,97857.0,5536.0,4.37,-0.069,0.193,https://example.com/amazon/67
tiktok,tiktok_0068,Home Product 68 for tiktok,Home,BrandB,19.52,USD,2025-08-21,1324093.0,143733.0,8995.0,2112.0,,,,0.138,0.88,https://example.com/tiktok/68
tiktok,tiktok_0069,Pet Product 69 for tiktok,Pet,BrandA,30.28,USD,2025-08-21,1991385.0,75853.0,467.0,144.0,,,,0.051,-0.087,https://example.com/tiktok/69
etsy,etsy_0070,Fashion Product 70 for etsy,Fashion,BrandB,49.89,USD,2025-08-21,,,,,26093.0,3146.0,4.78,0.776,1.146,https://example.com/etsy/70
etsy,etsy_0071,Home Product 71 for etsy,Home,BrandA,23.77,USD,2025-08-21,,,,,44426.0,5988.0,4.55,0.891,1.483,https://example.com/etsy/71
tiktok,tiktok_0072,Gadgets Product 72 for tiktok,Gadgets,BrandA,31.99,USD,2025-08-21,1882849.0,71140.0,2193.0,1717.0,,,,0.987,0.711,https://example.com/tiktok/72
tiktok,tiktok_0073,Beauty Product 73 for tiktok,Beauty,BrandA,21.03,USD,2025-08-21,685510.0,71680.0,2964.0,4998.0,,,,0.204,0.662,https://example.com/tiktok/73
amazon,amazon_0074,Beauty Product 74 for amazon,Beauty,BrandB,37.28,USD,2025-08-21,,,,,729.0,1365.0,3.74,-0.24,-0.204,https://example.com/amazon/74
amazon,amazon_0075,Gadgets Product 75 for amazon,Gadgets,NoBrand,66.39,USD,2025-08-21,,,,,24467.0,4171.0,3.84,1.131,0.918,https://example.com/amazon/75
tiktok,tiktok_0076,Fashion Product 76 for tiktok,Fashion,BrandB,36.4,USD,2025-08-21,1512713.0,5986.0,8385.0,5010.0,,,,-0.253,0.784,https://example.com/tiktok/76
etsy,etsy_0077,Fashion Product 77 for etsy,Fashion,NoBrand,40.88,USD,2025-08-21,,,,,87509.0,7651.0,4.9,0.85,-0.096,https://example.com/etsy/77
tiktok,tiktok_0078,Kitchen Product 78 for tiktok,Kitchen,NoBrand,64.65,USD,2025-08-21,555977.0,11674.0,6591.0,3324.0,,,,-0.311,1.027,https://example.com/tiktok/78
tiktok,tiktok_0079,Beauty Product 79 for tiktok,Beauty,BrandA,40.39,USD,2025-08-21,1148506.0,7301.0,4896.0,6761.0,,,,0.701,1.207,https://example.com/tiktok/79
etsy,etsy_0080,Kitchen Product 80 for etsy,Kitchen,BrandC,60.61,USD,2025-08-21,,,,,44262.0,1542.0,3.97,-0.044,0.414,https://example.com/etsy/80
amazon,amazon_0081,Kitchen Product 81 for amazon,Kitchen,NoBrand,62.19,USD,2025-08-21,,,,,83461.0,6172.0,3.35,1.179,0.374,https://example.com/amazon/81
etsy,etsy_0082,Beauty Product 82 for etsy,Beauty,BrandA,29.35,USD,2025-08-21,,,,,91793.0,510.0,4.83,0.547,0.33,https://example.com/etsy/82
tiktok,tiktok_0083,Kitchen Product 83 for tiktok,Kitchen,BrandC,50.62,USD,2025-08-21,962082.0,27290.0,4236.0,743.0,,,,1.05,-0.1,https://example.com/tiktok/83
tiktok,tiktok_0084,Home Product 84 for tiktok,Home,BrandB,37.04,USD,2025-08-21,539036.0,141007.0,3759.0,1111.0,,,,0.786,1.081,https://example.com/tiktok/84
tiktok,tiktok_0085,Fashion Product 85 for tiktok,Fashion,NoBrand,57.84,USD,2025-08-21,315062.0,52724.0,6580.0,2026.0,,,,-0.02,0.42,https://example.com/tiktok/85
tiktok,tiktok_0086,Kitchen Product 86 for tiktok,Kitchen,BrandB,36.1,USD,2025-08-21,1606824.0,34091.0,978.0,5059.0,,,,0.298,1.144,https://example.com/tiktok/86
amazon,amazon_0087,Kitchen Product 87 for amazon,Kitchen,BrandB,67.61,USD,2025-08-21,,,,,22701.0,1852.0,3.78,-0.331,1.364,https://example.com/amazon/87
tiktok,tiktok_0088,Kitchen Product 88 for tiktok,Kitchen,BrandA,63.9,USD,2025-08-21,269747.0,91862.0,6240.0,1286.0,,,,-0.053,0.23,https://example.com/tiktok/88
tiktok,tiktok_0089,Gadgets Product 89 for tiktok,Gadgets,BrandA,68.74,USD,2025-08-21,644421.0,106857.0,3380.0,2733.0,,,,0.779,1.347,https://example.com/tiktok/89
tiktok,tiktok_0090,Home Product 90 for tiktok,Home,BrandB,66.4,USD,2025-08-21,1069599.0,21947.0,8599.0,3049.0,,,,-0.229,0.304,https://example.com/tiktok/90
amazon,amazon_0091,Kitchen Product 91 for amazon,Kitchen,NoBrand,16.69,USD,2025-08-21,,,,,61530.0,3719.0,3.84,0.534,-0.16,https://example.com/amazon/91
tiktok,tiktok_0092,Kitchen Product 92 for tiktok,Kitchen,BrandA,67.39,USD,2025-08-21,1603023.0,122290.0,7362.0,5350.0,,,,0.095,1.165,https://example.com/tiktok/92
tiktok,tiktok_0093,Kitchen Product 93 for tiktok,Kitchen,BrandA,49.14,USD,2025-08-21,92844.0,28032.0,1631.0,3354.0,,,,1.105,0.45,https://example.com/tiktok/93
amazon,amazon_0094,Pet Product 94 for amazon,Pet,NoBrand,42.61,USD,2025-08-21,,,,,75673.0,6593.0,3.35,1.003,0.693,https://example.com/amazon/94
amazon,amazon_0095,Kitchen Product 95 for amazon,Kitchen,NoBrand,16.38,USD,2025-08-21,,,,,1016.0,1824.0,4.6,0.369,1.474,https://example.com/amazon/95
tiktok,tiktok_0096,Home Product 96 for tiktok,Home,BrandC,29.73,USD,2025-08-21,295977.0,135730.0,3975.0,6968.0,,,,0.511,-0.186,https://example.com/tiktok/96
tiktok,tiktok_0097,Beauty Product 97 for tiktok,Beauty,BrandA,8.32,USD,2025-08-21,280846.0,131956.0,454.0,6996.0,,,,0.984,1.163,https://example.com/tiktok/97
etsy,etsy_0098,Pet Product 98 for etsy,Pet,BrandA,68.98,USD,2025-08-21,,,,,80643.0,1460.0,4.25,0.762,1.063,https://example.com/etsy/98
tiktok,tiktok_0099,Fashion Product 99 for tiktok,Fashion,NoBrand,29.8,USD,2025-08-21,1565540.0,121788.0,6047.0,2078.0,,,,1.126,0.791,https://example.com/tiktok/99
etsy,etsy_0100,Fashion Product 100 for etsy,Fashion,BrandB,20.4,USD,2025-08-21,,,,,37745.0,4583.0,4.31,0.173,-0.096,https://example.com/etsy/100
tiktok,tiktok_0101,Fashion Product 101 for tiktok,Fashion,BrandA,48.31,USD,2025-08-21,1247665.0,62377.0,820.0,3992.0,,,,0.092,1.169,https://example.com/tiktok/101
tiktok,tiktok_0102,Beauty Product 102 for tiktok,Beauty,BrandA,66.98,USD,2025-08-21,135917.0,24785.0,4908.0,1878.0,,,,0.544,0.564,https://example.com/tiktok/102
etsy,etsy_0103,Home Product 103 for etsy,Home,NoBrand,32.49,USD,2025-08-21,,,,,1253.0,6996.0,4.35,0.888,1.326,https://example.com/etsy/103
tiktok,tiktok_0104,Fashion Product 104 for tiktok,Fashion,BrandB,44.89,USD,2025-08-21,16949.0,55893.0,8067.0,6971.0,,,,0.488,-0.136,https://example.com/tiktok/104
etsy,etsy_0105,Fashion Product 105 for etsy,Fashion,BrandA,51.76,USD,2025-08-21,,,,,94457.0,4261.0,4.01,1.057,0.236,https://example.com/etsy/105
etsy,etsy_0106,Beauty Product 106 for etsy,Beauty,NoBrand,38.99,USD,2025-08-21,,,,,43089.0,2180.0,4.63,0.335,1.216,https://example.com/etsy/106
etsy,etsy_0107,Fashion Product 107 for etsy,Fashion,BrandC,54.44,USD,2025-08-21,,,,,55124.0,3031.0,3.28,0.593,0.325,https://example.com/etsy/107
amazon,amazon_0108,Home Product 108 for amazon,Home,BrandC,19.18,USD,2025-08-21,,,,,12016.0,4042.0,3.34,-0.194,-0.07,https://example.com/amazon/108
tiktok,tiktok_0109,Pet Product 109 for tiktok,Pet,NoBrand,15.57,USD,2025-08-21,676997.0,24571.0,9141.0,4485.0,,,,0.714,0.441,https://example.com/tiktok/109
tiktok,tiktok_0110,Gadgets Product 110 for tiktok,Gadgets,BrandC,61.08,USD,2025-08-21,436650.0,70224.0,721.0,1999.0,,,,0.563,0.103,https://example.com/tiktok/110
amazon,amazon_0111,Pet Product 111 for amazon,Pet,BrandA,57.77,USD,2025-08-21,,,,,87506.0,4699.0,3.83,-0.349,0.688,https://example.com/amazon/111
tiktok,tiktok_0112,Kitchen Product 112 for tiktok,Kitchen,BrandA,39.67,USD,2025-08-21,157979.0,52245.0,9995.0,5962.0,,,,0.115,-0.134,https://example.com/tiktok/112
tiktok,tiktok_0113,Fashion Product 113 for tiktok,Fashion,BrandB,36.31,USD,2025-08-21,1232869.0,142050.0,6543.0,4232.0,,,,1.073,-0.19,https://example.com/tiktok/113
etsy,etsy_0114,Pet Product 114 for etsy,Pet,BrandB,23.44,USD,2025-08-21,,,,,79105.0,2055.0,4.55,-0.105,0.077,https://example.com/etsy/114
amazon,amazon_0115,Beauty Product 115 for amazon,Beauty,BrandB,29.34,USD,2025-08-21,,,,,8718.0,4569.0,4.57,0.45,0.997,https://example.com/amazon/115
amazon,amazon_0116,Pet Product 116 for amazon,Pet,BrandB,9.93,USD,2025-08-21,,,,,15035.0,5431.0,3.44,0.699,1.22,https://example.com/amazon/116
amazon,amazon_0117,Fashion Product 117 for amazon,Fashion,BrandC,53.23,USD,2025-08-21,,,,,67068.0,3345.0,4.01,0.452,0.136,https://example.com/amazon/117
etsy,etsy_0118,Gadgets Product 118 for etsy,Gadgets,BrandA,22.96,USD,2025-08-21,,,,,10268.0,713.0,4.22,0.945,-0.139,https://example.com/etsy/118
etsy,etsy_0119,Fashion Product 119 for etsy,Fashion,BrandC,39.73,USD,2025-08-21,,,,,4633.0,6288.0,3.82,0.358,0.339,https://example.com/etsy/119
etsy,etsy_0120,Beauty Product 120 for etsy,Beauty,BrandB,46.88,USD,2025-08-21,,,,,26735.0,6371.0,4.17,0.539,1.042,https://example.com/etsy/120
amazon,amazon_0121,Beauty Product 121 for amazon,Beauty,BrandA,33.19,USD,2025-08-21,,,,,72275.0,7721.0,3.71,0.181,0.863,https://example.com/amazon/121
etsy,etsy_0122,Fashion Product 122 for etsy,Fashion,BrandB,41.96,USD,2025-08-21,,,,,75704.0,2362.0,4.98,0.569,0.127,https://example.com/etsy/122
amazon,amazon_0123,Pet Product 123 for amazon,Pet,BrandB,12.41,USD,2025-08-21,,,,,1606.0,5622.0,4.08,0.961,-0.142,https://example.com/amazon/123
etsy,etsy_0124,Pet Product 124 for etsy,Pet,BrandB,56.77,USD,2025-08-21,,,,,85656.0,2870.0,4.72,-0.317,-0.267,https://example.com/etsy/124
etsy,etsy_0125,Gadgets Product 125 for etsy,Gadgets,BrandC,49.91,USD,2025-08-21,,,,,9112.0,5342.0,4.81,0.522,1.351,https://example.com/etsy/125
etsy,etsy_0126,Kitchen Product 126 for etsy,Kitchen,BrandC,6.33,USD,2025-08-21,,,,,118.0,2928.0,4.08,0.757,1.178,https://example.com/etsy/126
tiktok,tiktok_0127,Beauty Product 127 for tiktok,Beauty,NoBrand,51.26,USD,2025-08-21,1593818.0,79739.0,6366.0,5794.0,,,,-0.101,0.283,https://example.com/tiktok/127
amazon,amazon_0128,Beauty Product 128 for amazon,Beauty,BrandA,32.8,USD,2025-08-21,,,,,49377.0,4627.0,3.64,-0.216,0.799,https://example.com/amazon/128
amazon,amazon_0129,Home Product 129 for amazon,Home,BrandC,24.18,USD,2025-08-21,,,,,1829.0,1917.0,3.48,0.37,0.659,https://example.com/amazon/129
tiktok,tiktok_0130,Gadgets Product 130 for tiktok,Gadgets,NoBrand,9.26,USD,2025-08-21,776641.0,66045.0,310.0,6068.0,,,,0.478,0.063,https://example.com/tiktok/130
etsy,etsy_0131,Gadgets Product 131 for etsy,Gadgets,NoBrand,49.13,USD,2025-08-21,,,,,34388.0,320.0,3.45,-0.396,-0.09,https://example.com/etsy/131
etsy,etsy_0132,Beauty Product 132 for etsy,Beauty,BrandA,35.81,USD,2025-08-21,,,,,97830.0,2038.0,4.63,-0.229,1.231,https://example.com/etsy/132
tiktok,tiktok_0133,Gadgets Product 133 for tiktok,Gadgets,BrandB,53.0,USD,2025-08-21,1363649.0,127809.0,1958.0,405.0,,,,1.185,0.069,https://example.com/tiktok/133
etsy,etsy_0134,Beauty Product 134 for etsy,Beauty,BrandC,29.89,USD,2025-08-21,,,,,5416.0,3391.0,4.23,0.947,-0.048,https://example.com/etsy/134
etsy,etsy_0135,Fashion Product 135 for etsy,Fashion,BrandB,56.1,USD,2025-08-21,,,,,30524.0,6941.0,4.69,-0.102,0.124,https://example.com/etsy/135
amazon,amazon_0136,Home Product 136 for amazon,Home,BrandA,45.93,USD,2025-08-21,,,,,20612.0,600.0,4.78,0.228,1.17,https://example.com/amazon/136
amazon,amazon_0137,Pet Product 137 for amazon,Pet,BrandA,33.67,USD,2025-08-21,,,,,93710.0,6943.0,4.03,0.082,1.046,https://example.com/amazon/137
amazon,amazon_0138,Home Product 138 for amazon,Home,BrandB,37.67,USD,2025-08-21,,,,,19097.0,2192.0,4.82,0.214,0.678,https://example.com/amazon/138
etsy,etsy_0139,Beauty Product 139 for etsy,Beauty,BrandC,63.11,USD,2025-08-21,,,,,4019.0,3110.0,3.41,1.104,0.83,https://example.com/etsy/139
etsy,etsy_0140,Kitchen Product 140 for etsy,Kitchen,BrandB,27.1,USD,2025-08-21,,,,,87488.0,7667.0,4.63,0.592,0.66,https://example.com/etsy/140
tiktok,tiktok_0141,Home Product 141 for tiktok,Home,BrandB,62.32,USD,2025-08-21,108723.0,51856.0,1170.0,3098.0,,,,-0.002,1.039,https://example.com/tiktok/141
amazon,amazon_0142,Beauty Product 142 for amazon,Beauty,BrandB,8.11,USD,2025-08-21,,,,,19030.0,1857.0,4.57,1.003,0.316,https://example.com/amazon/142
etsy,etsy_0143,Pet Product 143 for etsy,Pet,NoBrand,57.74,USD,2025-08-21,,,,,23711.0,4910.0,4.72,-0.196,0.415,https://example.com/etsy/143
etsy,etsy_0144,Gadgets Product 144 for etsy,Gadgets,BrandB,56.23,USD,2025-08-21,,,,,64773.0,3228.0,3.61,0.756,0.996,https://example.com/etsy/144
amazon,amazon_0145,Home Product 145 for amazon,Home,BrandA,46.39,USD,2025-08-21,,,,,39667.0,1955.0,4.18,0.003,0.322,https://example.com/amazon/145
amazon,amazon_0146,Beauty Product 146 for amazon,Beauty,NoBrand,17.44,USD,2025-08-21,,,,,14154.0,2919.0,4.25,0.241,0.532,https://example.com/amazon/146
tiktok,tiktok_0147,Home Product 147 for tiktok,Home,NoBrand,65.68,USD,2025-08-21,143515.0,73819.0,1034.0,1669.0,,,,0.995,1.378,https://example.com/tiktok/147
amazon,amazon_0148,Pet Product 148 for amazon,Pet,BrandB,41.6,USD,2025-08-21,,,,,64645.0,2935.0,3.24,0.642,1.088,https://example.com/amazon/148
tiktok,tiktok_0149,Beauty Product 149 for tiktok,Beauty,BrandB,29.59,USD,2025-08-21,327320.0,135369.0,1842.0,2891.0,,,,-0.023,-0.002,https://example.com/tiktok/149
amazon,amazon_0150,Pet Product 150 for amazon,Pet,BrandC,17.74,USD,2025-08-21,,,,,19257.0,3072.0,4.77,0.43,0.764,https://example.com/amazon/150
tiktok,tiktok_0151,Pet Product 151 for tiktok,Pet,BrandC,31.14,USD,2025-08-21,328408.0,58045.0,3557.0,6486.0,,,,-0.393,0.3,https://example.com/tiktok/151
